Transaction_ID,Date,Year,Quarter,Month,Region,State,Product_Category,Product,Sales_Channel,Units_Sold,Unit_Price,Discount_Percent,Gross_Sales,Revenue,Cost,Profit,Profit_Margin_Percent,Marketing_Spend,Shipping_Cost,Returned_Units
TXN100001,01 January 2021,2021,Q1,January,East,West Bengal,Accessories,Headphones,Distributor,227,4602.09,456.00%,1044674.43,996989.11,495129.80,501859.31,5034.00%,28477.86,22347.37,5
TXN100002,01 January 2021,2021,Q1,January,East,Odisha,Accessories,Headphones,Online,246,4247.36,692.00%,1044850.56,972558.06,433250.53,539307.53,5545.00%,39782.58,17237.53,5
TXN100003,01 January 2021,2021,Q1,January,East,West Bengal,Accessories,Headphones,Retail,153,4511.78,285.00%,690302.34,670610.67,280695.16,389915.51,5814.00%,28214.47,9520.84,2
TXN100004,01 January 2021,2021,Q1,January,East,West Bengal,Accessories,Power Bank,Distributor,218,2241.35,626.00%,488614.30,458034.77,211893.51,246141.26,5374.00%,9924.44,11946.28,4
TXN100005,01 January 2021,2021,Q1,January,East,Bihar,Accessories,Power Bank,Online,236,2235.89,509.00%,527670.04,500793.60,236836.45,263957.15,5271.00%,24009.94,8231.17,4
TXN100006,01 January 2021,2021,Q1,January,East,Bihar,Accessories,Power Bank,Retail,176,2202.64,818.00%,387664.64,355968.53,158036.73,197931.80,5560.00%,12958.81,6989.10,4
TXN100007,01 January 2021,2021,Q1,January,East,Bihar,Accessories,Smartwatch,Distributor,223,8531.18,667.00%,1902453.14,1775526.87,709459.00,1066067.86,6004.00%,44298.31,29165.95,5
TXN100008,01 January 2021,2021,Q1,January,East,West Bengal,Accessories,Smartwatch,Online,214,8564.93,1018.00%,1832895.02,1646317.42,708809.00,937508.42,5695.00%,95889.66,34342.23,6
TXN100009,01 January 2021,2021,Q1,January,East,Odisha,Accessories,Smartwatch,Retail,181,8567.53,487.00%,1550722.93,1475251.26,626791.95,848459.31,5751.00%,49761.12,26308.91,5
TXN100010,01 January 2021,2021,Q1,January,East,West Bengal,Electronics,Laptop,Distributor,113,63970.91,580.00%,7228712.83,6809519.07,1714457.85,5095061.22,7482.00%,121235.57,135900.96,1
TXN100011,01 January 2021,2021,Q1,January,East,Odisha,Electronics,Laptop,Online,120,60283.99,1100.00%,7234078.80,6438370.06,1374696.41,5063673.65,7865.00%,247059.49,83939.86,1
TXN100012,01 January 2021,2021,Q1,January,East,West Bengal,Electronics,Laptop,Retail,77,61120.04,560.00%,4706243.08,4442634.16,1151901.95,3290732.21,7407.00%,188248.08,81098.21,2
TXN100013,01 January 2021,2021,Q1,January,East,Odisha,Electronics,Smartphone,Distributor,89,27560.88,675.00%,2452918.32,2287273.42,482215.95,1805057.47,7892.00%,58964.02,42693.47,1
TXN100014,01 January 2021,2021,Q1,January,East,Odisha,Electronics,Smartphone,Online,102,28874.86,926.00%,2945235.72,2672607.49,569545.38,2103062.11,7869.00%,124382.48,41655.94,2
TXN100015,01 January 2021,2021,Q1,January,East,Odisha,Electronics,Smartphone,Retail,63,29235.28,377.00%,1841822.64,1772472.53,354494.51,1417978.03,8000.00%,80693.82,19475.17,1
TXN100016,01 January 2021,2021,Q1,January,East,Odisha,Electronics,Tablet,Distributor,86,24331.12,811.00%,2092476.32,1922775.79,515188.14,1407587.65,7321.00%,35084.54,38662.69,3
TXN100017,01 January 2021,2021,Q1,January,East,Bihar,Electronics,Tablet,Online,96,24090.18,785.00%,2312657.28,2131217.80,529770.36,1601447.44,7514.00%,122464.92,23782.96,1
